IPR007508	D-aminoacyl-tRNA deacylase DtdA  Molecular Function	interpro	family		PTHR34667,PF04414	GO:0016788,GO:0051499
IPR007536	Ribosomal RNA small subunit methyltransferase J  Molecular Function	interpro	family		PTHR36112,MF_01523,PF04445	GO:0008990,GO:0031167
IPR007537	tRNAHis guanylyltransferase Thg1  Molecular Function	interpro	family		PIRSF028980,PTHR12729	GO:0000287,GO:0008193,GO:0006400
IPR007624	RNA polymerase sigma-70 region 3  Molecular Function	interpro	domain		PF04539	GO:0003700,GO:0006352,GO:0006355
IPR007627	RNA polymerase sigma-70 region 2  Molecular Function	interpro	domain		PF04542	GO:0003700,GO:0006352,GO:0006355
IPR007630	RNA polymerase sigma-70 region 4  Molecular Function	interpro	domain		PF04545	GO:0003700,GO:0006352,GO:0006355
IPR007631	RNA polymerase sigma factor 70, non-essential domain  Molecular Function	interpro	domain		PF04546	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR007634	RNA polymerase sigma factor 54, DNA-binding  Molecular Function	interpro	domain		PF04552	GO:0001216
IPR007638	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2  Molecular Function	interpro	domain		PF04557	GO:0000166,GO:0004819,GO:0005524,GO:0006425,GO:0005737
IPR007639	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal  Molecular Function	interpro	domain		PF04558	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
IPR007641	RNA polymerase Rpb2, domain 7  Molecular Function	interpro	domain		PF04560	GO:0003677,GO:0003899,GO:0006351
IPR007642	RNA polymerase Rpb2, domain 2  Molecular Function	interpro	domain		PF04561	GO:0003677,GO:0003899,GO:0006351
IPR007644	RNA polymerase, beta subunit, protrusion  Molecular Function	interpro	domain		PF04563	GO:0003677,GO:0003899,GO:0006351
IPR007645	RNA polymerase Rpb2, domain 3  Molecular Function	interpro	domain		PF04565	GO:0003677,GO:0003899,GO:0006351
IPR007646	RNA polymerase Rpb2, domain 4  Molecular Function	interpro	domain		PF04566	GO:0003677,GO:0003899,GO:0006351
IPR007722	mRNA decapping protein 2, Box A domain  Molecular Function	interpro	domain		SM01125,PF05026	GO:0003723
IPR007811	DNA-directed RNA polymerase III subunit RPC4  Molecular Function	interpro	family		PTHR13408,PF05132	GO:0003677,GO:0006383,GO:0005666
IPR007823	Ribosomal RNA processing protein 8  Molecular Function	interpro	family		PTHR12787,PF05148	GO:0008168
IPR007855	RNA-dependent RNA polymerase, eukaryotic-type  Molecular Function	interpro	family		PF05183,PTHR23079	GO:0003968
IPR007898	RNA polymerase I-specific transcription initiation factor Rrn10, Saccharomycetes  Molecular Function	interpro	family		PIRSF009867	GO:0001165,GO:0042790,GO:0000500
IPR007937	RNA polymerase, 22kDa subunit, poxviral  Molecular Function	interpro	family		PF05273,PIRSF000744	GO:0003677,GO:0003899,GO:0019083
IPR007984	DNA-directed RNA polymerase, 19kDa subunit, poxviral  Molecular Function	interpro	family		PF05320,PIRSF000743	GO:0003677,GO:0003899,GO:0006351
IPR007991	RNA polymerase I specific transcription initiation factor RRN3  Molecular Function	interpro	family		PF05327,PTHR12790	GO:0001181,GO:0006361
IPR008111	RNA-binding motif protein 8  Molecular Function	interpro	family		PTHR45894,PR01738	GO:0003723,GO:0006396,GO:0005634,GO:0005737
IPR008189	rRNA small subunit methyltransferase I  Molecular Function	interpro	family		PIRSF005917,TIGR00096,cd11648,PTHR46111,MF_01877	GO:0008168
IPR008193	DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site  Molecular Function	interpro	conserved_site		PS01154	GO:0003677,GO:0003899,GO:0006351
IPR008229	tRNA nucleotidyltransferase, archaea  Molecular Function	interpro	family		MF_01264,TIGR03671,PIRSF005335,PTHR39643	GO:0003723,GO:0004810,GO:0001680
IPR008448	DNA-directed RNA polymerase, 7kDa polypeptide, chordopoxviral  Molecular Function	interpro	family		PF05864	GO:0003677,GO:0003899,GO:0006351
IPR008594	Scavenger mRNA decapping enzyme DcpS/DCS2  Molecular Function	interpro	family		PF05652,PIRSF028973,PTHR12978	GO:0016787,GO:0000290
IPR008723	RNA-dependent RNA polymerase, orbiviral  Molecular Function	interpro	family		PF05788,PIRSF000821	GO:0003723,GO:0003968,GO:0006351
IPR008744	RNA-directed RNA polymerase, apple chlorotic leaf spot virus  Molecular Function	interpro	domain		PF05413	GO:0003723,GO:0003968,GO:0005524,GO:0019079
IPR008806	RNA polymerase III Rpc82, C -terminal  Molecular Function	interpro	domain		PF05645	GO:0003677,GO:0006351
IPR008925	Aminoacyl-tRNA synthetase, class I, anticodon-binding superfamily  Molecular Function	interpro	homologous_superfamily		SSF48163	GO:0000049
IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain  Molecular Function	interpro	homologous_superfamily		SSF50677,G3DSA:3.90.740.10	GO:0002161,GO:0006418
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain  Molecular Function	interpro	domain		PF13656	GO:0046983,GO:0006351
IPR009042	RNA polymerase sigma-70 region 1.2  Molecular Function	interpro	domain		PF00140	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding  Molecular Function	interpro	homologous_superfamily		SSF47323	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR009162	RNA polymerase, 30kDa subunit, chordopox-type  Molecular Function	interpro	family		PIRSF000745	GO:0003677,GO:0003899,GO:0006351
IPR009220	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein  Molecular Function	interpro	family		MF_01447,PIRSF036401	GO:0004222,GO:0008270
IPR009332	Mediator of RNA polymerase II transcription subunit 22  Molecular Function	interpro	family		PF06179,PTHR12434	GO:0003712,GO:0006357,GO:0016592
IPR009469	RNA-dependent RNA polymerase, N-terminal, coronavirus  Molecular Function	interpro	domain		PF06478	GO:0003723,GO:0003968,GO:0005524,GO:0006351
IPR009668	RNA polymerase I associated factor, A49-like  Molecular Function	interpro	family		PTHR14440,PF06870	GO:0003677,GO:0006351
IPR009674	DNA-directed RNA polymerase I subunit RPA2, domain 4  Molecular Function	interpro	domain		PF06883	GO:0003899,GO:0006351,GO:0005634
IPR010017	tRNA U34 carboxymethyltransferase  Molecular Function	interpro	family		MF_01590,TIGR00452	GO:0016765,GO:0002098
IPR010155	CRISPR pre-crRNA endoribonuclease Cas5d  Molecular Function	interpro	family		PIRSF029950,TIGR01876	GO:0004519,GO:0051607
IPR010222	RNA helicase HrpA  Molecular Function	interpro	family		TIGR01967	GO:0003724
IPR010243	DNA-directed RNA polymerase beta subunit, bacterial-type  Molecular Function	interpro	family		MF_01321,TIGR02013	GO:0003677,GO:0003899,GO:0006351
IPR010334	mRNA-decapping enzyme subunit 1  Molecular Function	interpro	family		PTHR16290,PF06058	GO:0008047,GO:0000290,GO:0043085
IPR010386	tRNA-hydroxylase MiaE  Molecular Function	interpro	family		cd07910,PF06175,PIRSF020736,PTHR42637	GO:0045301,GO:0006400
IPR010453	RNA polymerase, arenaviral  Molecular Function	interpro	family		MF_04086,PIRSF000836,PF06317	GO:0003968,GO:0019079
IPR010559	Signal transduction histidine kinase, internal region  Molecular Function	interpro	domain		PF06580	GO:0000155,GO:0000160,GO:0016020
IPR010675	RNA methyltransferase bin3, C-terminal  Molecular Function	interpro	domain		PF06859	GO:0008168
IPR010678	U3 small nucleolar RNA-associated protein 25  Molecular Function	interpro	family		PTHR12933	GO:0034511,GO:0006364,GO:0005730
IPR010769	Ribosomal RNA aminoglycoside-resistance methyltransferase, Gram-negative bacteria  Molecular Function	interpro	family		PIRSF015852	GO:0008649,GO:0046677
IPR010978	Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm  Molecular Function	interpro	homologous_superfamily		SSF46589	GO:0000166
IPR011113	Rho termination factor, RNA-binding domain  Molecular Function	interpro	domain		cd04459,PS51856,PF07497	GO:0003723,GO:0006353
IPR011145	Scavenger mRNA decapping enzyme, N-terminal  Molecular Function	interpro	homologous_superfamily		SSF102860,G3DSA:3.30.200.40	GO:0016787,GO:0000290
IPR011224	Ribosomal RNA large subunit methyltransferase M  Molecular Function	interpro	family		MF_01551,PIRSF028774	GO:0008168
IPR011260	RNA polymerase, alpha subunit, C-terminal  Molecular Function	interpro	domain		PF03118	GO:0003677,GO:0003899,GO:0006351
IPR011262	DNA-directed RNA polymerase, insert domain  Molecular Function	interpro	domain		PF01000	GO:0003899,GO:0046983,GO:0006351
IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type  Molecular Function	interpro	domain		PF01193,SM00662	GO:0003899,GO:0006351
IPR011425	Mediator of RNA polymerase II transcription subunit 9  Molecular Function	interpro	family		PF07544	GO:0003712,GO:0006357,GO:0016592
IPR011530	Ribosomal RNA adenine dimethylase  Molecular Function	interpro	family		MF_00607,TIGR00755	GO:0000179,GO:0006364
IPR011671	tRNA (uracil-O(2)-)-methyltransferase  Molecular Function	interpro	family		PF07757,PTHR21210	GO:0008168
IPR011773	DNA-directed RNA polymerase, alpha subunit  Molecular Function	interpro	family		MF_00059,TIGR02027	GO:0003677,GO:0003899,GO:0006351
IPR011804	Ribonuclease II  Molecular Function	interpro	family		MF_01036,TIGR02062	GO:0003723,GO:0008859,GO:0006401
IPR011805	Ribonuclease R  Molecular Function	interpro	family		MF_01895,TIGR02063	GO:0003723,GO:0004518
IPR011825	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC  Molecular Function	interpro	family		MF_01012,TIGR02085	GO:0016436,GO:0016070
IPR011856	tRNA endonuclease-like domain superfamily  Molecular Function	interpro	homologous_superfamily		G3DSA:3.40.1350.10	GO:0003676
IPR011869	tRNA/tmRNA (uracil-C(5))-methyltransferase, TrmA  Molecular Function	interpro	family		PTHR47790,MF_01011,TIGR02143	GO:0030697,GO:0006396
IPR011907	Ribonuclease III  Molecular Function	interpro	family		MF_00104,TIGR02191	GO:0003723,GO:0004525,GO:0006364
IPR012006	tRNA nucleotidyltransferase, proteobacteria  Molecular Function	interpro	family		MF_01261,MF_01262,PIRSF000813	GO:0003723,GO:0004810,GO:0005524,GO:0001680
IPR012094	tRNA(Ile)-lysidine synthase  Molecular Function	interpro	family		PTHR43033,MF_01161	GO:0000166,GO:0005524,GO:0016879,GO:0008033
IPR012164	DNA-directed RNA polymerase subunit/transcription factor S  Molecular Function	interpro	family		PIRSF005586,PTHR11239	GO:0003899,GO:0006351
IPR012387	tRNA ligase Trl1, fungi  Molecular Function	interpro	family		PIRSF019634	GO:0003972,GO:0005524,GO:0008081,GO:0051730,GO:0006388
IPR012647	RNA ligase, Rnl2  Molecular Function	interpro	family		TIGR02307	GO:0003972,GO:0005524,GO:0016874
IPR012648	T4 RNA ligase 1  Molecular Function	interpro	family		MF_04149,TIGR02308	GO:0003972
IPR012739	Pyrrolysyl-tRNA ligase  Molecular Function	interpro	family		MF_01573	GO:0004812,GO:0005524,GO:0006418,GO:0005737
IPR012754	DNA-directed RNA polymerase, subunit beta-prime, bacterial type  Molecular Function	interpro	family		MF_01322,TIGR02386	GO:0003677,GO:0003899,GO:0006351
IPR012755	DNA-directed RNA polymerase, subunit gamma  Molecular Function	interpro	family		TIGR02387	GO:0003677,GO:0003899,GO:0006351
IPR012756	DNA-directed RNA polymerase, subunit beta''  Molecular Function	interpro	family		MF_01324,TIGR02388	GO:0003677,GO:0003899,GO:0006351
IPR012757	DNA-directed RNA polymerase subunit Rpo1C  Molecular Function	interpro	family		cd06528,MF_00411,TIGR02389	GO:0003677,GO:0003899,GO:0006351
IPR012758	DNA-directed RNA polymerase subunit Rpo1N  Molecular Function	interpro	family		cd02582,MF_00863,TIGR02390	GO:0003677,GO:0003899,GO:0008270,GO:0006351
IPR012759	RNA polymerase sigma factor RpoH, proteobacteria  Molecular Function	interpro	family		MF_00961,TIGR02392	GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR012760	RNA polymerase sigma factor RpoD, C-terminal  Molecular Function	interpro	domain		TIGR02393	GO:0003677,GO:0016987,GO:0006352,GO:0006355
IPR012761	RNA polymerase sigma factor RpoS  Molecular Function	interpro	family		MF_00959,TIGR02394	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR012784	RNA polymerase-binding transcription factor DksA  Molecular Function	interpro	family		MF_00926,TIGR02420	GO:0008270
IPR012795	tRNA(Ile)-lysidine synthase, N-terminal  Molecular Function	interpro	domain		cd01992,TIGR02432	GO:0000166,GO:0005524,GO:0016879,GO:0008033
IPR012796	Lysidine-tRNA(Ile) synthetase, C-terminal  Molecular Function	interpro	domain		PF11734,SM00977,TIGR02433	GO:0000166,GO:0005524,GO:0016879,GO:0008033,GO:0005737
IPR012845	RNA polymerase sigma factor, FliA/WhiG  Molecular Function	interpro	family		TIGR02479	GO:0003677,GO:0003899,GO:0016987,GO:0006352,GO:0006355
IPR012915	Reovirus RNA-dependent RNA polymerase lambda 3  Molecular Function	interpro	family		PF07925	GO:0003723,GO:0003968,GO:0032774,GO:0019013
IPR012920	Ribosomal RNA methyltransferase, SPB1-like, C-terminal  Molecular Function	interpro	domain		PF07780	GO:0008168,GO:0006364,GO:0005634
IPR012933	HicA mRNA interferase family  Molecular Function	interpro	family		PF07927	GO:0003729
IPR012947	Threonyl/alanyl tRNA synthetase, SAD  Molecular Function	interpro	domain		SM00863,PF07973	GO:0004812,GO:0005524,GO:0043039
IPR013123	RNA 2-O ribose methyltransferase, substrate binding  Molecular Function	interpro	domain		SM00967,PF08032	GO:0008168
IPR013155	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding  Molecular Function	interpro	domain		PF08264	GO:0004812,GO:0006418
IPR013249	RNA polymerase sigma factor 70, region 4 type 2  Molecular Function	interpro	domain		PF08281	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR013268	U3 small nucleolar RNA-associated protein 16  Molecular Function	interpro	family		PF08297	GO:0030515,GO:0006364
IPR013325	RNA polymerase sigma factor, region 2  Molecular Function	interpro	homologous_superfamily		SSF88946	GO:0003700,GO:0006352,GO:0006355
IPR013375	O-phosphoseryl-tRNA:Cys-tRNA synthase, archaea  Molecular Function	interpro	family		MF_01675,TIGR02539	GO:0043766
IPR013469	Ribonuclease BN  Molecular Function	interpro	family		TIGR02649	GO:0016891
IPR013471	Ribonuclease Z/BN  Molecular Function	interpro	family		cd07717,MF_01818,TIGR02651	GO:0016891
IPR013674	Luteovirus RNA polymerase P1-P2/replicase  Molecular Function	interpro	domain		PF08467	GO:0003968
IPR013699	Signal recognition particle, SRP72 subunit, RNA-binding  Molecular Function	interpro	domain		PF08492	GO:0008312,GO:0006614,GO:0048500
IPR013792	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta  Molecular Function	interpro	homologous_superfamily		SSF55205	GO:0003824
IPR013795	DNA/RNA-binding protein Alba  Molecular Function	interpro	family		MF_01122,PIRSF028732,TIGR00285	GO:0003677,GO:0003723
IPR013949	U3 small nucleolar RNA-associated protein 6  Molecular Function	interpro	family		PF08640,PTHR23271	GO:0030515,GO:0000462
IPR014014	RNA helicase, DEAD-box type, Q motif  Molecular Function	interpro	domain		PS51195	GO:0003724
IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain  Molecular Function	interpro	domain		PS50526,PF00946	GO:0003968,GO:0004482,GO:0005524,GO:0006370
IPR014200	RNA polymerase sigma-E type  Molecular Function	interpro	family		TIGR02835	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014209	RNA polymerase sigma-K type  Molecular Function	interpro	family		TIGR02846	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014212	RNA polymerase sigma-G type  Molecular Function	interpro	family		TIGR02850	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014218	RNA polymerase sigma-H type  Molecular Function	interpro	family		TIGR02859	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014236	RNA polymerase sigma-F type  Molecular Function	interpro	family		TIGR02885	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014284	RNA polymerase sigma-70-like domain  Molecular Function	interpro	domain		TIGR02937	GO:0003700,GO:0006352,GO:0006355
IPR014286	RNA polymerase sigma-70 RpoE type  Molecular Function	interpro	family		TIGR02939	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014288	RNA polymerase sigma-B factor  Molecular Function	interpro	family		TIGR02941	GO:0016987
IPR014293	RNA polymerase sigma-70, actinobacteria  Molecular Function	interpro	family		TIGR02947	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014296	RNA polymerase sigma-M, bacillaceae  Molecular Function	interpro	family		TIGR02950	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014322	RNA polymerase sigma-B/F/G type  Molecular Function	interpro	family		TIGR02980	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR014325	RNA polymerase sigma-E factor, actinobacteria  Molecular Function	interpro	family		TIGR02983	GO:0016987
IPR014381	DNA-directed RNA polymerase subunit Rpo5/Rpb5  Molecular Function	interpro	family		MF_00025,PIRSF000747,PTHR10535	GO:0003899
IPR014385	RNA-directed RNA polymerase, phlebovirus  Molecular Function	interpro	family		PIRSF000826	GO:0001882,GO:0003968,GO:0019079
IPR014724	RNA polymerase Rpb2, OB-fold  Molecular Function	interpro	homologous_superfamily		G3DSA:2.40.50.150	GO:0003899
IPR014758	Methionyl-tRNA synthetase  Molecular Function	interpro	family		TIGR00398	GO:0000166,GO:0004825,GO:0005524,GO:0006431
IPR014780	tRNA pseudouridine synthase II, TruB  Molecular Function	interpro	family		cd02573,MF_01080,TIGR00431,PTHR13767	GO:0003723,GO:0009982,GO:0001522,GO:0009451
IPR014789	Poly(A)-specific ribonuclease, RNA-binding  Molecular Function	interpro	domain		PF08675	GO:0003723,GO:0004535,GO:0046872,GO:0006402,GO:0005634,GO:0005737
IPR014816	tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14  Molecular Function	interpro	family		PTHR12133,PS51620,PIRSF017269	GO:0160107,GO:0030488,GO:0031515
IPR015011	Threonyl-tRNA synthetase, editing domain, archaea  Molecular Function	interpro	domain		PF08915	GO:0004829,GO:0005524,GO:0008270,GO:0005737
IPR015225	tRNA pseudouridine synthase II, TruB, subfamily 2, C-terminal  Molecular Function	interpro	domain		PF09142	GO:0003723,GO:0009982,GO:0001522,GO:0009451
IPR015240	tRNA pseudouridine synthase II, TruB, subfamily 1, C-terminal  Molecular Function	interpro	domain		PF09157	GO:0003723,GO:0009982,GO:0001522,GO:0009451
IPR015245	Nuclear RNA export factor Tap, RNA-binding domain  Molecular Function	interpro	domain		PF09162	GO:0003723,GO:0006406,GO:0005737
IPR015262	tRNA(Ile)-lysidine synthase, substrate-binding domain  Molecular Function	interpro	domain		PF09179	GO:0000166,GO:0005524,GO:0016879,GO:0008033,GO:0005737
IPR015264	Prolyl-tRNA synthetase, class II, C-terminal, archaeal-type  Molecular Function	interpro	domain		PF09181	GO:0000166,GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR015273	Cysteinyl-tRNA synthetase, class Ia, DALR  Molecular Function	interpro	domain		SM00840,PF09190	GO:0000166,GO:0004817,GO:0005524,GO:0006423,GO:0005737
